file,label,page,text,id,surrounding_text
Def1038-CL20192911-050222_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT /  GeP)_1038 
Date:  04/11/2022 
PSA 
Judge: 
Case:  CL-2019-0002911 "
Def1038-CL20192911-050222_readable.pdf,timexy,2,May  21,"TIMEX3 type=""DATE"" value=""2021-05-01T00:00:00""","I 
IPB  AYEMA 
Los  Angeles 
May  21,  2016  9:22  PM "
Def1038-CL20192911-050222_readable.pdf,timexy,3,May  21,"TIMEX3 type=""DATE"" value=""2021-05-01T00:00:00""","Los  Armetes 
May  21,  2016  9:25  PM "
Def1038-CL20192911-050222_readable.pdf,timexy,4,May  21,"TIMEX3 type=""DATE"" value=""2021-05-01T00:00:00""","May  21,  2016  11:57  PM "
Def1041-CL20192911-041322_readable.pdf,DATE,1,"1041 
Date",,"PLT  /Oeh  1041 
Date:  04/11/2022 
PSA 
Judge: 
Case:  CL-2019-0002911 "
Def1041-CL20192911-041322_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /Oeh  1041 
Date:  04/11/2022 
PSA 
Judge: 
Case:  CL-2019-0002911 "
Def1049-CL20192911-051922_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT/ 
Date:  04/11/2022 
Judge: 
PSA 
Case:  CL-2019-0002911 "
Def1063-CL20192911-041822_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","  > 
PLT  (DeF:__1063 
Date:  04/11/2022 
Judge: 
PSA 
Case:  CL-2019-0002911 "
Def1063-CL20192911-041822_readable.pdf,timexy,4,11/7/2014,"TIMEX3 type=""DATE"" value=""2014-07-11T00:00:00""",11/7/2014 
Def1063-CL20192911-041822_readable.pdf,timexy,5,3/7/2015,"TIMEX3 type=""DATE"" value=""2015-07-03T00:00:00""","Delivered:  3/7/2015 
him  | 5:00:55  PM(UTC-8) "
Def1063-CL20192911-041822_readable.pdf,timexy,5,3/7/2015,"TIMEX3 type=""DATE"" value=""2015-07-03T00:00:00""","Delivered:  3/7/2015 
him  | 5:00:55  PM(UTC-8) "
Def1063-CL20192911-041822_readable.pdf,timexy,5,3/7/2015,"TIMEX3 type=""DATE"" value=""2015-07-03T00:00:00""","Delivered:  3/7/2015 
him  | 5:00:55  PM(UTC-8) "
Def1063-CL20192911-041822_readable.pdf,timexy,5,3/7/2015,"TIMEX3 type=""DATE"" value=""2015-07-03T00:00:00""","Delivered:  3/7/2015 
him  | 5:00:55  PM(UTC-8) "
Def1063-CL20192911-041822_readable.pdf,timexy,8,7/1/2015,"TIMEX3 type=""DATE"" value=""2015-01-07T00:00:00""","Timestamp:  7/1/2015 
11:37:11  PM(UTC-7) "
Def1063-CL20192911-041822_readable.pdf,DATE,8,3  days,,"the  last  3  days...  The  accusations,  the  verbal  abuse  and > 
insults... ""Stooping  to  one  the  most  unjust..,  ""You  haven't 
changed  you  fucking  désperate  hypocritell!”... 
""You  didn't  out  the  monster  away..  Your  full  of  shit... 
Your  a  pathetic  fraud!!!""...  Man,  you  know  how  hard  1 
have  worked  to  put  that  motherfucker  i in  its  cagell!  And... 
EDID  THATII  Mell! 
|  took  all  of  those  other  problems  and  rid  myself  of  them 
|  won't:bore  you  with  it..: 
“There's  a  whole  lot  more... 
little...  You  know 
The  Xanex  takes  the  edge  off,  just  a 
mell!  It  would  take’  more  than  a  few  to  really  affect  me.. 
Seraqul  scares  me  for  the  reasons  |  were  off  if  it... 
If  your  worried  about  the  Xanex,  prescribe  me  something 
different  but  with  more  potencyll!  I  don't  take  them  all.  . 
that  often...  Just  when  the  brain is  inundated  with  this - 
horrible. ‘badgering  and  half  truths  from  my  wifell!  Py  the 
wsy "
Def1063-CL20192911-041822_readable.pdf,DATE,8,"4 
months",,"Direction: 
Outgoing 
Bod: 
Fam,  and  have  béen  at  peace  for  the  last  3  to  4 
months!  It's  been  amazing!!i  But,  she  is  somehow 
-|  locked in  to  this  very  unpleasant  and  belittling  mode in 
-| "
Def1063-CL20192911-041822_readable.pdf,timexy,9,7/1/2015,"TIMEX3 type=""DATE"" value=""2015-01-07T00:00:00""","Timestamp:  7/1/2015 
41:50:29  PM(UTC-7) "
Def1063-CL20192911-041822_readable.pdf,timexy,9,7/1/2015,"TIMEX3 type=""DATE"" value=""2015-01-07T00:00:00""","Timestamp:  7/1/2015 
41:50:29  PM(UTC-7) "
Def1063-CL20192911-041822_readable.pdf,timexy,9,7/5/2015,"TIMEX3 type=""DATE"" value=""2015-05-07T00:00:00""","Timestamp:  7/5/2015 
12:15:41  PM(UTC-7) "
Def1063-CL20192911-041822_readable.pdf,timexy,9,7/5/2015,"TIMEX3 type=""DATE"" value=""2015-05-07T00:00:00""","Timestamp:  7/5/2015 
12:15:41  PM(UTC-7) "
Def1063-CL20192911-041822_readable.pdf,timexy,10,8/3/2015,"TIMEX3 type=""DATE"" value=""2015-03-08T00:00:00""","Timestamp:  8/3/2015 
8:38:51  PM(UTC-7) "
Def1063-CL20192911-041822_readable.pdf,timexy,10,8/3/2015,"TIMEX3 type=""DATE"" value=""2015-03-08T00:00:00""","Timestamp:  8/3/2015 
8:38:51  PM(UTC-7) "
Def1090-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT /  Bef:)_1090 
Date:  04/11/2022 
Judge: "
Def1094-CL20192911-042122_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""",Date:  04/11/2022 
Def1095-CL20192911-050522_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","Date:  04/11/2022 
Judge: "
Def1245-CL20192911-051622_readable.pdf,timexy,1,8  April  2020,"TIMEX3 type=""DATE"" value=""2020-04-08T00:00:00""","By  ROSS  IBBETSON  FOR  MAILONLINE 
PUBLISHED;  21:26,  8  April  2020  |  UPDATED:  14:51,  9  April  2020 "
Def1245-CL20192911-051622_readable.pdf,timexy,1,9  April  2020,"TIMEX3 type=""DATE"" value=""2020-04-09T00:00:00""","By  ROSS  IBBETSON  FOR  MAILONLINE 
PUBLISHED;  21:26,  8  April  2020  |  UPDATED:  14:51,  9  April  2020 "
Def1245-CL20192911-051622_readable.pdf,DATE,1,"1245 
Date",,"PLT  /  Be  1245 
Date:  04/11/2022 
Judge: 
PSA 
Case:  CL-2019-0002911 "
Def1245-CL20192911-051622_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /  Be  1245 
Date:  04/11/2022 
Judge: 
PSA 
Case:  CL-2019-0002911 "
Def1246-CL20192911-042722_readable.pdf,timexy,1,27  April  2020,"TIMEX3 type=""DATE"" value=""2020-04-27T00:00:00""","By  BEN  ASHFORD  FOR  DAILYMAIL.COM 
PUBLISHED:  18:45,  27  April  2020  |  UPDATED:  13:16,  28  April  2020 "
Def1246-CL20192911-042722_readable.pdf,timexy,1,28  April  2020,"TIMEX3 type=""DATE"" value=""2020-04-28T00:00:00""","By  BEN  ASHFORD  FOR  DAILYMAIL.COM 
PUBLISHED:  18:45,  27  April  2020  |  UPDATED:  13:16,  28  April  2020 "
Def1246-CL20192911-042722_readable.pdf,DATE,1,"1246 
Date",,"PLT  KDef?__  1246 
Date:  04/11/2022 
Judge: "
Def1246-CL20192911-042722_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  KDef?__  1246 
Date:  04/11/2022 
Judge: "
Def1246A-CL20192911-051622_readable.pdf,timexy,1,27  April  2020,"TIMEX3 type=""DATE"" value=""2020-04-27T00:00:00""","By  BEN  ASHFORD  FOR  DAILYMAIL.COM 
PUBLISHED:  18:45,  27  April  2020  (UPDATED:  13.16,  28  April  2020 "
Def1246A-CL20192911-051622_readable.pdf,timexy,1,28  April  2020,"TIMEX3 type=""DATE"" value=""2020-04-28T00:00:00""","By  BEN  ASHFORD  FOR  DAILYMAIL.COM 
PUBLISHED:  18:45,  27  April  2020  (UPDATED:  13.16,  28  April  2020 "
Def1247-CL20192911-051622_readable.pdf,timexy,1,24  June  2020,"TIMEX3 type=""DATE"" value=""2020-06-24T00:00:00""","24  June  2020 OUI UPDATED:  14:55,  25  June  2020 "
Def1247-CL20192911-051622_readable.pdf,timexy,1,25  June  2020,"TIMEX3 type=""DATE"" value=""2020-06-25T00:00:00""","24  June  2020 OUI UPDATED:  14:55,  25  June  2020 "
Def1247-CL20192911-051622_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT/O@P_1247 
Date:  04/11/2022 
Judge: 
PSA 
Case:  CL-2019-0002911 "
Def143-CL20192911-042122_readable.pdf,timexy,1,April  19,"TIMEX3 type=""DATE"" value=""2019-04-01T00:00:00""","Thursday,  April  19,  2012  11:20:47  AM "
Def143-CL20192911-042122_readable.pdf,timexy,1,Apr  19,"TIMEX3 type=""DATE"" value=""2019-04-01T00:00:00""","On  Apr  19,  2012,  at  11:17  AM,  Stephen  Deuters  wrote: "
Def143-CL20192911-042122_readable.pdf,timexy,1,Apr  19,"TIMEX3 type=""DATE"" value=""2019-04-01T00:00:00""","On  Apr  19,  2012,  at  11:17  AM,  Stephen  Deuters  wrote: "
Def143-CL20192911-042122_readable.pdf,DATE,1,the  day,,"is  it  okay  to  put  on  a  condom  after  the  fact???  i  mean,  if  i  just  wear  it  for  the  rest  of 
the  day,  like???  that  works,  doesn't  it??? "
Def143-CL20192911-042122_readable.pdf,timexy,1,Apr  19,"TIMEX3 type=""DATE"" value=""2019-04-01T00:00:00""","On  Apr  19,  2012,  at  11:17  AM,  Stephen  Deuters  wrote: "
Def143-CL20192911-042122_readable.pdf,timexy,1,Apr  19,"TIMEX3 type=""DATE"" value=""2019-04-01T00:00:00""","On  Apr  19,  2012,  at  11:17  AM,  Stephen  Deuters  wrote: "
Def143-CL20192911-042122_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  (Dep: 
Date:  04/11/2022 
Judge: 
PSA 
Case:  CL-2019-0002911 "
Def143-CL20192911-042122_readable.pdf,timexy,2,Apr  19,"TIMEX3 type=""DATE"" value=""2019-04-01T00:00:00""","On  Apr  19,  2012,  at  10:45  AM,  Stephen  Deuters  wrote: "
Def1458-CL20192911-042022_readable.pdf,timexy,1,May  21,"TIMEX3 type=""DATE"" value=""2021-05-01T00:00:00""","Amber  and  Johnny  married  on  February  3,  2015.  They  have  no  children  together.  For 
1. 
the  purposes  of  this  dissolution  action,  Amber  and  Johnny  agree  that  their  date  of  separation  is 
May  21,  2016. "
Def1458-CL20192911-042022_readable.pdf,timexy,1,September  15,"TIMEX3 type=""DATE"" value=""2015-09-01T00:00:00""","2. 
This  DPM  is  conditioned  on  the  exchange  of  both  parties’  Preliminary  and  Final  Declarations  of 
Disclosure  on  or  before  September  15,  2016.  This  DPM  establishes  the  minimum  equalization 
payment  that  is  to  be  paid  to  Amber  by  Johnny,  subject  to  Amber’s  review  on  before  September 
15,  2016  of  Johnny’s  complete  Preliminary  and  Final  Declaration  of  Disclosure,  and  the  parties’ 
agreement  as  to  the  actual  characterization  and  value  of  community  assets  and  debts  on  or  before 
September  15,  2016. "
Def1458-CL20192911-042022_readable.pdf,timexy,1,"September 
15","TIMEX3 type=""DATE"" value=""2015-09-01T00:00:00""","2. 
This  DPM  is  conditioned  on  the  exchange  of  both  parties’  Preliminary  and  Final  Declarations  of 
Disclosure  on  or  before  September  15,  2016.  This  DPM  establishes  the  minimum  equalization 
payment  that  is  to  be  paid  to  Amber  by  Johnny,  subject  to  Amber’s  review  on  before  September 
15,  2016  of  Johnny’s  complete  Preliminary  and  Final  Declaration  of  Disclosure,  and  the  parties’ 
agreement  as  to  the  actual  characterization  and  value  of  community  assets  and  debts  on  or  before 
September  15,  2016. "
Def1458-CL20192911-042022_readable.pdf,timexy,1,September  15,"TIMEX3 type=""DATE"" value=""2015-09-01T00:00:00""","2. 
This  DPM  is  conditioned  on  the  exchange  of  both  parties’  Preliminary  and  Final  Declarations  of 
Disclosure  on  or  before  September  15,  2016.  This  DPM  establishes  the  minimum  equalization 
payment  that  is  to  be  paid  to  Amber  by  Johnny,  subject  to  Amber’s  review  on  before  September 
15,  2016  of  Johnny’s  complete  Preliminary  and  Final  Declaration  of  Disclosure,  and  the  parties’ 
agreement  as  to  the  actual  characterization  and  value  of  community  assets  and  debts  on  or  before 
September  15,  2016. "
Def1458-CL20192911-042022_readable.pdf,DATE,1,"1458 
Date",,"PLT  /Oefs;7  1458 
Date:  04/11/2022 
Judge: 
PSA 
Case:  CL-2019-0002911 "
Def1458-CL20192911-042022_readable.pdf,timexy,1,04/11/2022,"TIMEX3 type=""DATE"" value=""2022-11-04T00:00:00""","PLT  /Oefs;7  1458 
Date:  04/11/2022 
Judge: 
PSA 
Case:  CL-2019-0002911 "
Def1458-CL20192911-042022_readable.pdf,DATE,2,"the  year 
2015",,"9. 
and  all  tax  liabilities,  penalties  and  interest  attributable  to  each  of  the  party’s  respective  incomes 
(defined  as  community  property  income  earned  by  each  party  based  on  their  work  efforts  during 
the  marriage  and  their  separate  property  income)  for  the  years  prior  to  the  marriage,  the  year 
2015,  and  all  years  thereafter.  Each  party  shall  indemnify,  defend  and  hold  the  other  party  free 
and  harmless  from  and  against  all  liability  arising  from  the  filing  of  separate  state  and  federal 
income  tax  returns. "
Def1458-CL20192911-042022_readable.pdf,timexy,3,June  17,"TIMEX3 type=""DATE"" value=""2017-06-01T00:00:00""","10. 
execute  the  Stipulation  and  Order  re  Dismissal  of  Petitioner's  Request  for  Domestic  Violence 
Restraining  Orders  and  take  any  and  all  additional  actions  necessary  to  dismiss,  with  prejudice, 
Amber’s  request  for  a  Domestic  Violence  Restraining  Order,  in  the  Marriage  of  Depp,  L.A.S.C. 
Case  No.  BD641052,  initially  set  for  hearing  on  June  17,  2016  and  which  has  been  continued  to 
August  17,  2016.  Pursuant  to  this  DPM,  neither  party  is  the  prevailing  party  for  purposes  of 
Code  of  Civil  Procedure  Section  1032,  Family  Code  Section  6344,  or  any  other  statute. "
