file,label,page,text,id,surrounding_text,calculated_date,pretty_date,link
Def730-CL20192911-042622_readable.pdf,timexy,3,06/08/05,"TIMEX3 type=""DATE"" value=""2005-08-06T00:00:00"""," 1A1-W3  1A1-W3  VEHQ:  SNLJ124  DMV-VR  RESPONSE  FOR  DATE:  05/21/16 
‘TIME:  20:44  INSURANCE  INFORMATION  ON  FILE  REG  VALID  FROM: 
05/02/16  TO  05/02/17LIC  #:5NLJ124  YRMD;:05  MAKE:BMW  BTM  :SD 
VIN  i  WBAEV53485KM43072  R/C iis 
NN  01.0;00/00/05  RCO  05/02/16 
0CID:09/08/07  LOCD:2  L/O  :CARMAX  BUSINESS  SERVICES  LL,  PO 
BOX  440609,  KENNESAW  CITY:GA  ZIP  :30160  TYPE:11  POWR:G 
VEH  212  BODY:0  CLAS:FW  *-YR:07  REC  STATUS:  04/02/15  SMOG 
DUE  05/02/17  06/08/05  PREV  LIC  666670S  CLEARANCE 
INFORMATION  RECORDS:OFFICE  WORK  DATE  TECH/ID  SEQ  # 
VALUE  FICHE  DATE  TTC  RID  04/07/09  41  7217  00219.00  00/00/00 
POT  RIO  04/01/10  50  7392  00291.00  00/00/00  POT  RIO  03/30/11 
41  7003  00243.00  00/00/00  POT  RIO  03/02/12  54  7009  00162.00 
03/02/12  POT  RIO  04/04/13  50  7007  00145.00  04/04/13  POT  RJ3 ",2005-08-06,Aug. 2005,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=3
Def175-CL20192911-042122_readable.pdf,timexy,1,June  07,"TIMEX3 type=""DATE"" value=""2007-06-01T00:00:00""","Bruce  Witkin 
Friday,  June  07,  2013  7:21:43  PM 
dictator3 
Re:  Can't  shake  it. ",2007-06-01,Jun. 2007,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-21-2022/Def175-CL20192911-042122.pdf#page=1
Def974-CL20192911-041322_readable.pdf,timexy,1,02/11/08,"TIMEX3 type=""DATE"" value=""2008-11-02T00:00:00""",02/11/08 ,2008-11-02,Nov. 2008,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-13-2022/Def974-CL20192911-041322.pdf#page=1
Def730-CL20192911-042622_readable.pdf,timexy,3,04/07/09,"TIMEX3 type=""DATE"" value=""2009-07-04T00:00:00"""," 1A1-W3  1A1-W3  VEHQ:  SNLJ124  DMV-VR  RESPONSE  FOR  DATE:  05/21/16 
‘TIME:  20:44  INSURANCE  INFORMATION  ON  FILE  REG  VALID  FROM: 
05/02/16  TO  05/02/17LIC  #:5NLJ124  YRMD;:05  MAKE:BMW  BTM  :SD 
VIN  i  WBAEV53485KM43072  R/C iis 
NN  01.0;00/00/05  RCO  05/02/16 
0CID:09/08/07  LOCD:2  L/O  :CARMAX  BUSINESS  SERVICES  LL,  PO 
BOX  440609,  KENNESAW  CITY:GA  ZIP  :30160  TYPE:11  POWR:G 
VEH  212  BODY:0  CLAS:FW  *-YR:07  REC  STATUS:  04/02/15  SMOG 
DUE  05/02/17  06/08/05  PREV  LIC  666670S  CLEARANCE 
INFORMATION  RECORDS:OFFICE  WORK  DATE  TECH/ID  SEQ  # 
VALUE  FICHE  DATE  TTC  RID  04/07/09  41  7217  00219.00  00/00/00 
POT  RIO  04/01/10  50  7392  00291.00  00/00/00  POT  RIO  03/30/11 
41  7003  00243.00  00/00/00  POT  RIO  03/02/12  54  7009  00162.00 
03/02/12  POT  RIO  04/04/13  50  7007  00145.00  04/04/13  POT  RJ3 ",2009-07-04,Jul. 2009,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=3
Def730-CL20192911-042622_readable.pdf,timexy,3,04/01/10,"TIMEX3 type=""DATE"" value=""2010-01-04T00:00:00"""," 1A1-W3  1A1-W3  VEHQ:  SNLJ124  DMV-VR  RESPONSE  FOR  DATE:  05/21/16 
‘TIME:  20:44  INSURANCE  INFORMATION  ON  FILE  REG  VALID  FROM: 
05/02/16  TO  05/02/17LIC  #:5NLJ124  YRMD;:05  MAKE:BMW  BTM  :SD 
VIN  i  WBAEV53485KM43072  R/C iis 
NN  01.0;00/00/05  RCO  05/02/16 
0CID:09/08/07  LOCD:2  L/O  :CARMAX  BUSINESS  SERVICES  LL,  PO 
BOX  440609,  KENNESAW  CITY:GA  ZIP  :30160  TYPE:11  POWR:G 
VEH  212  BODY:0  CLAS:FW  *-YR:07  REC  STATUS:  04/02/15  SMOG 
DUE  05/02/17  06/08/05  PREV  LIC  666670S  CLEARANCE 
INFORMATION  RECORDS:OFFICE  WORK  DATE  TECH/ID  SEQ  # 
VALUE  FICHE  DATE  TTC  RID  04/07/09  41  7217  00219.00  00/00/00 
POT  RIO  04/01/10  50  7392  00291.00  00/00/00  POT  RIO  03/30/11 
41  7003  00243.00  00/00/00  POT  RIO  03/02/12  54  7009  00162.00 
03/02/12  POT  RIO  04/04/13  50  7007  00145.00  04/04/13  POT  RJ3 ",2010-01-04,Jan. 2010,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=3
Def730-CL20192911-042622_readable.pdf,timexy,6,09/05/2011,"TIMEX3 type=""DATE"" value=""2011-05-09T00:00:00""","1A61-W3  VEHQ:  6ROM337  DMV-VR  RESPONSE  FOR  DATE;  05/22/16 
TIME:  OL:34INSURANCE  INFORMATION  ON  FILE  REG  VALID  FROM: 
09/08/15  TO  09/08/1L6LIC  #:6ROM337  YRMD:11  MAKE:CHE  BTM  ‘UT  VIN 
t1GNSCBEO9BRI67344  R/O aT 
Deer ser  ee  eae  ent 
WEEE  S0.L0:00/00/11  RCID:09/11/15  OCID:09/20/11  LOCD:z  YO 
18K  AMER  NA,  PO  BX  2759,  JACKSONVILLE  CITY:FL  ZIP  :32203  LPT 
:P43110920  TYPE:11  POWR:F  VEH  :12  BODY:D  CLAS:MV  REC  STATUS; 
09/20/11  SMOG  DUE  09/08/17  PAPERLESS  TITLE  CLEARANCE 
INFORMATION  RECORDS:OFFICE  WORK  DATE  TECH/ID  SEQ  #  VALUE 
FICHE  DATE  TIC  V44  09/19/11  B9  0012  0406.00  00/00/00  ADO  RIG 
09/07/12  40  7139  00375,00  00/00/00  POT  RI6  09/11/13  40  7134 
00389.00  00/00/00,POT  RIG  09/08/14  42  7061  00314.00  00/00/00  POT 
R16  09/08/15  43  7004  00284.00  00/00/00  POT 
09/05/2011-ODOMETER:  13  MILES  ACTUAL  MILEAGE  END  cws 
RESPONSE*INFO* =  VLN¥  6ROM337  CA  NO  HIT  CJIS-SVS  RESPONSE 
FOR  1YYX.QVK.CA0194200,LIC/6ROM337.LIS/NO  HITSNO  NEAR  MISS. ",2011-05-09,May 2011,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=6
Def730-CL20192911-042622_readable.pdf,timexy,7,11/05/11,"TIMEX3 type=""DATE"" value=""2011-05-11T00:00:00""","RCID:12/18/15  OCID:07/11/14  LOCD:9  TYPE:11  POWR:G  VEH  :12 
BODY:0  CLAS:AC  *-YR:14  REC  STATUS:  09/16/2015  RENEWAL  NOTICE 
EXTRACTED  12/25/15  SMOG  DUE  12/14/17  04/14/11  SALVAGED 
04/14/11  PREV  LIC  5XGT203  CLEARANCE  INFORMATION 
RECORDS;  OFFICE  WORK  DATE  TECH/ID  SEQ  #  VALUE  FICHE  DATE  TTC 
141  11/05/11  12  4899  00102.00  11/09/11  POT  C74  11/13/12  5T  0007 
00103.00  11/17/12  HOO  CNO  01/07/14  02  1081  00083,00  01/07/14  POT 
140  10/17/13  0 ",2011-05-11,May 2011,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=7
Def730-CL20192911-042622_readable.pdf,timexy,7,11/09/11,"TIMEX3 type=""DATE"" value=""2011-09-11T00:00:00""","RCID:12/18/15  OCID:07/11/14  LOCD:9  TYPE:11  POWR:G  VEH  :12 
BODY:0  CLAS:AC  *-YR:14  REC  STATUS:  09/16/2015  RENEWAL  NOTICE 
EXTRACTED  12/25/15  SMOG  DUE  12/14/17  04/14/11  SALVAGED 
04/14/11  PREV  LIC  5XGT203  CLEARANCE  INFORMATION 
RECORDS;  OFFICE  WORK  DATE  TECH/ID  SEQ  #  VALUE  FICHE  DATE  TTC 
141  11/05/11  12  4899  00102.00  11/09/11  POT  C74  11/13/12  5T  0007 
00103.00  11/17/12  HOO  CNO  01/07/14  02  1081  00083,00  01/07/14  POT 
140  10/17/13  0 ",2011-09-11,Sep. 2011,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=7
Def730-CL20192911-042622_readable.pdf,timexy,3,03/02/12,"TIMEX3 type=""DATE"" value=""2012-02-03T00:00:00"""," 1A1-W3  1A1-W3  VEHQ:  SNLJ124  DMV-VR  RESPONSE  FOR  DATE:  05/21/16 
‘TIME:  20:44  INSURANCE  INFORMATION  ON  FILE  REG  VALID  FROM: 
05/02/16  TO  05/02/17LIC  #:5NLJ124  YRMD;:05  MAKE:BMW  BTM  :SD 
VIN  i  WBAEV53485KM43072  R/C iis 
NN  01.0;00/00/05  RCO  05/02/16 
0CID:09/08/07  LOCD:2  L/O  :CARMAX  BUSINESS  SERVICES  LL,  PO 
BOX  440609,  KENNESAW  CITY:GA  ZIP  :30160  TYPE:11  POWR:G 
VEH  212  BODY:0  CLAS:FW  *-YR:07  REC  STATUS:  04/02/15  SMOG 
DUE  05/02/17  06/08/05  PREV  LIC  666670S  CLEARANCE 
INFORMATION  RECORDS:OFFICE  WORK  DATE  TECH/ID  SEQ  # 
VALUE  FICHE  DATE  TTC  RID  04/07/09  41  7217  00219.00  00/00/00 
POT  RIO  04/01/10  50  7392  00291.00  00/00/00  POT  RIO  03/30/11 
41  7003  00243.00  00/00/00  POT  RIO  03/02/12  54  7009  00162.00 
03/02/12  POT  RIO  04/04/13  50  7007  00145.00  04/04/13  POT  RJ3 ",2012-02-03,Feb. 2012,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=3
Def730-CL20192911-042622_readable.pdf,timexy,3,03/02/12,"TIMEX3 type=""DATE"" value=""2012-02-03T00:00:00"""," 1A1-W3  1A1-W3  VEHQ:  SNLJ124  DMV-VR  RESPONSE  FOR  DATE:  05/21/16 
‘TIME:  20:44  INSURANCE  INFORMATION  ON  FILE  REG  VALID  FROM: 
05/02/16  TO  05/02/17LIC  #:5NLJ124  YRMD;:05  MAKE:BMW  BTM  :SD 
VIN  i  WBAEV53485KM43072  R/C iis 
NN  01.0;00/00/05  RCO  05/02/16 
0CID:09/08/07  LOCD:2  L/O  :CARMAX  BUSINESS  SERVICES  LL,  PO 
BOX  440609,  KENNESAW  CITY:GA  ZIP  :30160  TYPE:11  POWR:G 
VEH  212  BODY:0  CLAS:FW  *-YR:07  REC  STATUS:  04/02/15  SMOG 
DUE  05/02/17  06/08/05  PREV  LIC  666670S  CLEARANCE 
INFORMATION  RECORDS:OFFICE  WORK  DATE  TECH/ID  SEQ  # 
VALUE  FICHE  DATE  TTC  RID  04/07/09  41  7217  00219.00  00/00/00 
POT  RIO  04/01/10  50  7392  00291.00  00/00/00  POT  RIO  03/30/11 
41  7003  00243.00  00/00/00  POT  RIO  03/02/12  54  7009  00162.00 
03/02/12  POT  RIO  04/04/13  50  7007  00145.00  04/04/13  POT  RJ3 ",2012-02-03,Feb. 2012,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=3
Def414-CL20192911-041822_readable.pdf,timexy,1,Apr  12,"TIMEX3 type=""DATE"" value=""2012-04-01T00:00:00""","Apr  12,  2015,  11:40  AM ",2012-04-01,Apr. 2012,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-18-2022/Def414-CL20192911-041822.pdf#page=1
Def730-CL20192911-042622_readable.pdf,timexy,3,02/04/2012,"TIMEX3 type=""DATE"" value=""2012-04-02T00:00:00""","08/29/14  AE  0005  00135.00  09/03/14  HOS  KBS  09/01/15  10  0046 
-  00128,00  09/01/15  POT  V52  03/07/16  DA  OGO1  00015.00  03/08/16 
FOO  02/04/2012-ODOMETER:  176,042  MILES  ACTUAL  MILEAGE  END 
CJIS-SVS  RESPONSE  FOR 
LYYX.QVK.CA0194200.LIC/6UVE722.LIS/NO  HITSNO  NEAR  MISS ",2012-04-02,Apr. 2012,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=3
Def730-CL20192911-042622_readable.pdf,timexy,6,09/07/12,"TIMEX3 type=""DATE"" value=""2012-07-09T00:00:00""","1A61-W3  VEHQ:  6ROM337  DMV-VR  RESPONSE  FOR  DATE;  05/22/16 
TIME:  OL:34INSURANCE  INFORMATION  ON  FILE  REG  VALID  FROM: 
09/08/15  TO  09/08/1L6LIC  #:6ROM337  YRMD:11  MAKE:CHE  BTM  ‘UT  VIN 
t1GNSCBEO9BRI67344  R/O aT 
Deer ser  ee  eae  ent 
WEEE  S0.L0:00/00/11  RCID:09/11/15  OCID:09/20/11  LOCD:z  YO 
18K  AMER  NA,  PO  BX  2759,  JACKSONVILLE  CITY:FL  ZIP  :32203  LPT 
:P43110920  TYPE:11  POWR:F  VEH  :12  BODY:D  CLAS:MV  REC  STATUS; 
09/20/11  SMOG  DUE  09/08/17  PAPERLESS  TITLE  CLEARANCE 
INFORMATION  RECORDS:OFFICE  WORK  DATE  TECH/ID  SEQ  #  VALUE 
FICHE  DATE  TIC  V44  09/19/11  B9  0012  0406.00  00/00/00  ADO  RIG 
09/07/12  40  7139  00375,00  00/00/00  POT  RI6  09/11/13  40  7134 
00389.00  00/00/00,POT  RIG  09/08/14  42  7061  00314.00  00/00/00  POT 
R16  09/08/15  43  7004  00284.00  00/00/00  POT 
09/05/2011-ODOMETER:  13  MILES  ACTUAL  MILEAGE  END  cws 
RESPONSE*INFO* =  VLN¥  6ROM337  CA  NO  HIT  CJIS-SVS  RESPONSE 
FOR  1YYX.QVK.CA0194200,LIC/6ROM337.LIS/NO  HITSNO  NEAR  MISS. ",2012-07-09,Jul. 2012,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=6
Def730-CL20192911-042622_readable.pdf,timexy,6,09/11/12,"TIMEX3 type=""DATE"" value=""2012-11-09T00:00:00""","SOLD:00/00/13  RCID:10/18/1§  OCID:08/01/13  LOCD:Z  L/O  :BK  AMER 
NA,  PO  BX  2759,  JACKSONVILLE  CITY:FL  ZIP  :32203  LPT  :P43130801 
TYPE:11  POWR:G  VEH  :12  BODY:0  CLAS:DF  #-YR!13  REC  STATUS! 
10/06/14  SMOG  DUE  09/12/18  PAPERLESS  TITLE  PARKING  VIOLATIONS. 
ON  FILECLEARANCE  INFORMATION  RECORDS:OFFICE  WORK  DATE 
TECH/ID  SEQ  #  VALUE  FICHE  DATE  TTC  44  09/19/11  89  0024 
00215,00  00/00/00  ACO  R18  09/11/12  40  7341  00203,00  06/00/00  POT 
X21  06/19/13  Z5  0079  00000.00  00/00/00  205  V1  07/31/13  FW  0022 
0214.00  00/00/00  FOO  RIS  10/06/24  70  7217  00228.00 . ",2012-11-09,Nov. 2012,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-26-2022/Def730-CL20192911-042622.pdf#page=6
Def195-CL20192911-042522_readable.pdf,timexy,3,11/1/2013,"TIMEX3 type=""DATE"" value=""2013-01-11T00:00:00""","Status:  Sent 
Delivered:  11/1/2013  7:46:15  AM(UTC-7) ",2013-01-11,Jan. 2013,https://ffxtrail.blob.core.windows.net/trail/Defendant Amber Laura Heard/4-25-2022/Def195-CL20192911-042522.pdf#page=3
