file,label,page,text,id,surrounding_text,link
0.pdf,timexy,1,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Exhibit: JD2 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=1
0.pdf,timexy,2,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=2
0.pdf,timexy,2,27 April 2018,"TIMEX3 type=""DATE"" value=""2018-04-27T00:00:00""","27 April 2018  and in hard copy on 28  April 2018  (together, the ""Article"").  As  set out in the ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=2
0.pdf,timexy,2,28  April 2018,"TIMEX3 type=""DATE"" value=""2018-04-28T00:00:00""","27 April 2018  and in hard copy on 28  April 2018  (together, the ""Article"").  As  set out in the ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=2
0.pdf,timexy,2,13  June 2018,"TIMEX3 type=""DATE"" value=""2018-06-13T00:00:00""","Particulars of Claim dated  13  June 2018,  at paragraph 10, the Article included words which I ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=2
0.pdf,timexy,2,May  2016,"TIMEX3 type=""DATE"" value=""2016-05-01T00:00:00""","first  made  them  in  May  2016,  when  she  applied  to  the  California  Court  for  a  temporary ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=2
0.pdf,timexy,2,21  April  2016,"TIMEX3 type=""DATE"" value=""2016-04-21T00:00:00""",were  alleged  to  have  occurred  on  21  April  2016  and  21  May  2016. ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=2
0.pdf,timexy,2,21  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""",were  alleged  to  have  occurred  on  21  April  2016  and  21  May  2016. ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=2
0.pdf,timexy,2,November 2016,"TIMEX3 type=""DATE"" value=""2016-11-01T00:00:00""",was cast in around November 2016. ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=2
0.pdf,timexy,3,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No: Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=3
0.pdf,timexy,3,14 years,"TIMEX3 type=""DURATION"" value=""P14Y""",12. I have had a number of very important romantic relationships before I spent 14 years with my ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=3
0.pdf,timexy,4,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=4
0.pdf,DATE,4,a couple of years,,"14. Once we had finished the filming,  I do not believe I saw Ms Heard for a couple of years until ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=4
0.pdf,DATE,4,a few months,,15. It was  a few months after the  start of our relationship that I started to recognize the  lies.  As ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=4
0.pdf,timexy,5,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=5
0.pdf,timexy,6,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=6
0.pdf,timexy,6,January  2015,"TIMEX3 type=""DATE"" value=""2015-01-01T00:00:00""","during  the  filming  of Mortdecai  in  London in  January  2015,  when my  children ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=6
0.pdf,DATE,6,the years,,during the  course of our relationship.  I took the years of verbal and physical abuse  and only ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=6
0.pdf,timexy,7,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=7
0.pdf,timexy,8,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=8
0.pdf,DATE,8,late  2011,,"23. When I first  got together with Ms  Heard,  at the premiere for  The Rum Diary in late  2011,  I ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=8
0.pdf,timexy,8,3 days,"TIMEX3 type=""DURATION"" value=""P3D""",stop drinking and who then hooked me up at rehab for 3 days after the premiere. ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=8
0.pdf,timexy,8,July 2013,"TIMEX3 type=""DATE"" value=""2013-07-01T00:00:00""","24. I remember that before the release  of The  Lone Ranger in July 2013,  I had had another five ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=8
0.pdf,DATE,8,"five 

day",,,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=8
0.pdf,DATE,8,almost daily,,"mushrooms,  and would use  a type  of amphetamine  similar to  speed almost daily.  At times, ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=8
0.pdf,timexy,9,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=9
0.pdf,DATE,9,Late 2012/Early 2013,,First Alleged Abuse in Late 2012/Early 2013 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=9
0.pdf,timexy,10,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=10
0.pdf,timexy,10,March  81,"TIMEX3 type=""DATE"" value=""1981-03-01T00:00:00""",33. I understand  from  my  solicitors that the Defendants  also  allege  that on March  81,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=10
0.pdf,timexy,10,March 81,"TIMEX3 type=""DATE"" value=""1981-03-01T00:00:00""",34. I cannot remember if I was with Ms Heard at her home on March 81,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=10
0.pdf,DATE,10,March  12th,,"Insofar  as  I  exchanged  texts  with Ms  Heard  on  March  12th,  2013  (and  I  do  not  remember ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=10
0.pdf,DATE,10,May 24th,,May 24th and 2511,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=10
0.pdf,DATE,10,May 24th,,May 24th and 2511,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=10
0.pdf,timexy,11,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=11
0.pdf,DATE,11,May 27th,,"days  later on May 27th,  2014 to  my sister,  Christi Dembrowski,  after Ms Heard had tried to ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=11
0.pdf,timexy,12,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=12
0.pdf,DATE,12,"August I1h, 2014",,"August I1h, 2014 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=12
0.pdf,DATE,12,August  17th,,"41.  The  Defendants also  allege that on August  17th,  2014  Ms  Heard and I were in the Bahamas ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=12
0.pdf,DATE,12,August  17th,,"41.  The  Defendants also  allege that on August  17th,  2014  Ms  Heard and I were in the Bahamas ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=12
0.pdf,timexy,13,12  December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12  December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=13
0.pdf,DATE,13,"five 

days",,,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=13
0.pdf,timexy,14,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,DATE,14,"December 11h, 2014",,"December 11h, 2014 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,DATE,14,December  17'h,,"towards  Ms  Heard  on  December  17'h,  2014  and  that  afterwards  I  sent  her  text  messages ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,DATE,14,December  17th,,"have  occurred  on  December  17th,  2014  and  as  such I  cannot provide  any  detail  as  to  what ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,timexy,14,25 January 2015,"TIMEX3 type=""DATE"" value=""2015-01-25T00:00:00""",25 January 2015 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,DATE,14,around January 25'h,,"49. The Defendants also allege that on or around January 25'h,  2015 I ""shoved Ms Heard, slapped ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,DATE,14,January  25th,,"50. Ms  Heard and I were  in Tokyo  in or  around  January  25th,  2015  but at no  point did  I shove, ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,timexy,14,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",March 2015 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,timexy,14,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",March 2015 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=14
0.pdf,timexy,15,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopber Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=15
0.pdf,timexy,15,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",52. Ms  Heard  and I were in Australia in March 2015  while  I was  working on the Pirates of the ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=15
0.pdf,timexy,15,"8 

March 2015","TIMEX3 type=""DATE"" value=""2015-03-08T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=15
0.pdf,timexy,15,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",52. Ms  Heard  and I were in Australia in March 2015  while  I was  working on the Pirates of the ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=15
0.pdf,timexy,15,March  2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","who  was  harmed  in  Australia,  grievously  so,  was  me  in  March  2015,  when,  as  I  describe ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=15
0.pdf,timexy,15,"21  June 

2019","TIMEX3 type=""DATE"" value=""2019-06-21T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=15
0.pdf,timexy,15,March  2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","who  was  harmed  in  Australia,  grievously  so,  was  me  in  March  2015,  when,  as  I  describe ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=15
0.pdf,DATE,15,that day,,asked him  what else  he  had taken  that day.  The  Claimant screamed at her and grabbed her ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=15
0.pdf,timexy,16,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness:  John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=16
0.pdf,DATE,16,the  day,,"Claimant broke  through the  door  and attacked Ms  Heard.  During the  course  of the  day,  the ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=16
0.pdf,DATE,16,March 8th,,"56. The events described above did not happen as  alleged.  Immediately before March 8th,  2015, ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=16
0.pdf,timexy,16,March 81,"TIMEX3 type=""DATE"" value=""1981-03-01T00:00:00""",57.  When I woke  up  in the morning of March 81,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=16
0.pdf,timexy,17,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=17
0.pdf,timexy,18,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=18
0.pdf,DATE,18,the  day,,"point  in  the  day,  Ms  Heard  had  gone  upstairs  to  the  bedroom  of the  house  and  I  was ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=18
0.pdf,timexy,19,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=19
0.pdf,DATE,19,"March 8th, 2015",,"March 8th, 2015. ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=19
0.pdf,DATE,19,the month,,"America later in the month.  Either the next day  or very shortly after, the house manager Mr ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=19
0.pdf,DATE,19,the next day,,"America later in the month.  Either the next day  or very shortly after, the house manager Mr ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=19
0.pdf,timexy,19,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",March 2015 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=19
0.pdf,timexy,19,March 2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",March 2015 ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=19
0.pdf,timexy,19,"March 

2015","TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=19
0.pdf,timexy,19,22  March  2015,"TIMEX3 type=""DATE"" value=""2015-03-22T00:00:00""","2015.  Around  the  22  March  2015,  I  was  at  Penthouse  5,  Eastern  Colombia  Building ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=19
0.pdf,timexy,20,12 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-12T00:00:00""","On behalf of:  Claimant 
Witness: John Christopher Depp II 
No:  Second 
Date:  12 December 2019 ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=20
0.pdf,timexy,20,August 2015,"TIMEX3 type=""DATE"" value=""2015-08-01T00:00:00""","70. In  August 2015,  Ms  Heard  and  I  were  travelling  on the  Eastern  Oriental train  in  Southern ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=20
0.pdf,timexy,20,September  2015,"TIMEX3 type=""DATE"" value=""2015-09-01T00:00:00""",place  with  Ms  Heard  in  September  2015  around  the  time  of the  Toronto  and  Venice  Film ,https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=20
0.pdf,DATE,20,early to,,"festivals,  which both take place in early to mid-September.  Ms Heard and I had attended the ",https://www.nickwallis.com/_files/ugd/5df505_efa99136c99548998dae947fc1742a21.pdf#page=20
