file,label,page,text,id,surrounding_text,link
0.pdf,timexy,1,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=1
0.pdf,timexy,2,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=2
0.pdf,timexy,3,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=3
0.pdf,DATE,3,years  ago,,I  can  remember.  Some  of  these  events  took  place  quite  a  few  years  ago  and  were ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=3
0.pdf,DATE,3,these years later,,"There may be times where it is difficult to recall, these years later, the exact sequence ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=3
0.pdf,timexy,4,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=4
0.pdf,DATE,4,early 2012,,from him while I was on vacation in Spain and Morocco in early 2012.  He said he wanted ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=4
0.pdf,timexy,5,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=5
0.pdf,DATE,5,our weekend,,"problems.  It was at that point he told me that, just before our weekend in New York, he ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=5
0.pdf,DATE,5,all day,,"for his children. This meant I was pretty much stuck in the house all day.  I would read, ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=5
0.pdf,timexy,6,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=6
0.pdf,timexy,7,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=7
0.pdf,timexy,8,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=8
0.pdf,DATE,8,the next three and a half years,,was harder to resist. I didn’t have a car for the next three and a half years. Over time it ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=8
0.pdf,timexy,9,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=9
0.pdf,timexy,9,two days,"TIMEX3 type=""DURATION"" value=""P2D""",He would tell me he was coming over and then not show up for two days. Other times ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=9
0.pdf,DATE,9,sometimes days,,"or sometimes days. But if I wasn’t there when he finally showed up, he would find ways ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=9
0.pdf,timexy,10,15 December 2019,"TIMEX3 type=""DATE"" value=""2019-12-15T00:00:00""",Date:   15 December 2019 ,https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=10
