file,label,page,text,id,surrounding_text,link,name,calculated_date,pretty_date
11.pdf,timexy,32,"May 21, 2005","TIMEX3 type=""DATE"" value=""2005-05-21T00:00:00""","18 evening of May 21, 2005?",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=32,Josh Drew,2005-05-21,May 2005
11.pdf,timexy,243,02/11/08,"TIMEX3 type=""DATE"" value=""2008-11-02T00:00:00""",P rinte d on: 02/11/08,https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=243,Josh Drew,2008-11-02,Nov. 2008
6.pdf,timexy,4,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",March 2013 incidents ,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=4,Amber Heard,2013-03-01,Mar. 2013
6.pdf,timexy,4,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",March 2013 incidents ,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=4,Amber Heard,2013-03-01,Mar. 2013
6.pdf,timexy,4,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",March 2013 incidents ,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=4,Amber Heard,2013-03-01,Mar. 2013
5.pdf,timexy,2,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",Johnny in March 2013; ,https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=2,Amber Heard,2013-03-01,Mar. 2013
5.pdf,timexy,8,March  2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",incidents  of  violence  in  March  2013  and  many  fights  over  that  month  about  the ,https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=8,Amber Heard,2013-03-01,Mar. 2013
5.pdf,timexy,7,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""",in March 2013; ,https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=7,Amber Heard,2013-03-01,Mar. 2013
5.pdf,timexy,8,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","J32: This is the picture at J11 again, from March 2013; ",https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=8,Amber Heard,2013-03-01,Mar. 2013
0.pdf,timexy,13,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","Painting incident, March 2013  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13,Amber Heard,2013-03-01,Mar. 2013
0.pdf,timexy,13,March 2013,"TIMEX3 type=""DATE"" value=""2013-03-01T00:00:00""","Painting incident, March 2013  ",https://www.nickwallis.com/_files/ugd/5df505_c0be9b5abbe648fb91f943b0e81fb02b.pdf#page=13,Amber Heard,2013-03-01,Mar. 2013
6.pdf,timexy,4,"8 

March 2013","TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=4,Amber Heard,2013-03-08,Mar. 2013
6.pdf,timexy,4,"8 March 

2013","TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=4,Amber Heard,2013-03-08,Mar. 2013
6.pdf,timexy,2,8 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",Sweetzer on 8 March 2013; and ,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=2,Amber Heard,2013-03-08,Mar. 2013
5.pdf,timexy,8,8 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",sure that the painting incident took place on 8 March 2013. There were numerous ,https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=8,Amber Heard,2013-03-08,Mar. 2013
5.pdf,timexy,8,8 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""",sure that the painting incident took place on 8 March 2013. There were numerous ,https://www.nickwallis.com/_files/ugd/5df505_594d5052b051445c915a232155d1ba25.pdf#page=8,Amber Heard,2013-03-08,Mar. 2013
11.pdf,timexy,47,"March 8, 2013","TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""","1 2013, Los Angeles, California.""                            02:58
2           Then on page 2, it says, ""March 8, 2013,
3 Los Angeles, California.""
4           Later on that same page, page 2, ""May 24,
5 2014, flight from Boston, Massachusetts, to                02:58
6 Los Angeles, California.""
7           Were you later, once you had started to
8 date Rocky, made aware of any of those incidents?
9       A   The only one would be the -- the flight
10 from Boston.                                               02:58
11       Q   Okay.  And how did you become aware of
12 that?
13       A   I honestly couldn't tell you the exact
14 circumstance that predicated it, and honestly, I
15 couldn't tell you whether it was early on in the           02:58
16 relationship or whether it came up following that
17 final May 21st incident.
18           I'm -- I'm trying to take myself out of
19 it, because, obviously, reading the context adds
20 information to it.  The only thing that I really was       02:59
21 told at that time was that they had had an argument.
22 It was related to one of her projects and that at a
23 certain point, he kicked her.
24           And it was in -- one of the few incidents
25 that actually happened in front of people that             02:59
Page 157",https://www.nickwallis.com/_files/ugd/5df505_72a55d0c9a0b4e919b4b509eed3052c4.pdf#page=47,Josh Drew,2013-03-08,Mar. 2013
7.pdf,timexy,9,8 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-08T00:00:00""","Painting incident, 8 March 2013 ",https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=9,Whitney Henriquez,2013-03-08,Mar. 2013
4.pdf,timexy,10,9  March  2013,"TIMEX3 type=""DATE"" value=""2013-03-09T00:00:00""","The  day  after  the  painting  incident  (9  March  2013),  I  sent  a  text  to  Kate,  telling  her ",https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=10,Amber Heard,2013-03-09,Mar. 2013
4.pdf,timexy,10,10 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-10T00:00:00""",41. On 10 March 2013 I told Kate about Johnny hitting me after being upset about Tasya.  ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=10,Amber Heard,2013-03-10,Mar. 2013
6.pdf,timexy,2,22 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-22T00:00:00""",Orange on 22 March 2013. ,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=2,Amber Heard,2013-03-22,Mar. 2013
6.pdf,timexy,4,22 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-22T00:00:00""",March 2013 took place on 22 March 2013. There was a separate incident on 8 March ,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=4,Amber Heard,2013-03-22,Mar. 2013
6.pdf,timexy,4,22 March 2013,"TIMEX3 type=""DATE"" value=""2013-03-22T00:00:00""",March 2013 took place on 22 March 2013. There was a separate incident on 8 March ,https://www.nickwallis.com/_files/ugd/5df505_d693dfaa1502427db91ef06b574b1d05.pdf#page=4,Amber Heard,2013-03-22,Mar. 2013
2.pdf,timexy,5,June  2013,"TIMEX3 type=""DATE"" value=""2013-06-01T00:00:00""","21. In  June  2013,  in  the  early  days  of  our relationship,  Johnny  and  I  were  in  Hicksville, ",https://www.nickwallis.com/_files/ugd/5df505_460ee721e9694b80a6d7446b25cf1945.pdf#page=5,Amber Heard,2013-06-01,Jun. 2013
9.pdf,timexy,8,June 2013,"TIMEX3 type=""DATE"" value=""2013-06-01T00:00:00""",on a trip we took to Hicksville for his birthday in June 2013. We were all staying at this ,https://www.nickwallis.com/_files/ugd/5df505_a3fe858a192f4f0aac32dfff526dd2ec.pdf#page=8,Kristina Sexton,2013-06-01,Jun. 2013
7.pdf,timexy,3,"June 

2013","TIMEX3 type=""DATE"" value=""2013-06-01T00:00:00""",,https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=3,Whitney Henriquez,2013-06-01,Jun. 2013
10.pdf,timexy,2,August 2013,"TIMEX3 type=""DATE"" value=""2013-08-01T00:00:00""", from about August 2013 through about May ,https://www.nickwallis.com/_files/ugd/5df505_93829870cca84460bc244b5712103f7f.pdf#page=2,iO Tillet-Wright,2013-08-01,Aug. 2013
4.pdf,timexy,11,August 2013,"TIMEX3 type=""DATE"" value=""2013-08-01T00:00:00""",42. There was at least one distinct conversation at my house. Around July or August 2013 ,https://www.nickwallis.com/_files/ugd/5df505_8aac7925e8c747f4aadc8bca5c3277fe.pdf#page=11,Amber Heard,2013-08-01,Aug. 2013
7.pdf,timexy,5,September 2013,"TIMEX3 type=""DATE"" value=""2013-09-01T00:00:00""","before they got engaged in September 2013, I saw that her face was swollen and she ",https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=5,Whitney Henriquez,2013-09-01,Sep. 2013
7.pdf,timexy,6,September 2013,"TIMEX3 type=""DATE"" value=""2013-09-01T00:00:00""","September 2013, I felt sick about it when she called to tell me. I told her it was a bad ",https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=6,Whitney Henriquez,2013-09-01,Sep. 2013
7.pdf,timexy,8,September 2013,"TIMEX3 type=""DATE"" value=""2013-09-01T00:00:00""",discuss the fact he was hitting her until sometime between March and September 2013. ,https://www.nickwallis.com/_files/ugd/5df505_39406a304ef14f7fa093eca9ecb91ec4.pdf#page=8,Whitney Henriquez,2013-09-01,Sep. 2013
