label,page,text,id,surrounding_text
DATE,1,early 2013,," 
The Court has the transcripts for each day of the trial. Below, are selected extracts from the 
evidence given orally, grouped by reference to pleaded alleged incidents of violence. 
 
 
Incident 1: The Tattoo Incident, early 2013   
 
There  is  limited  evidence  on  this  alleged  first  incidence  of  violence.  The  Defendants’  case 
seeks to say that it arose in the unlikely scenario that Mr Depp reacted badly to a joke about 
an infamous tattoo which he has, one which Ms Heard would have seen countless times by 
early 2013. Further how the incident allegedly panned out differed when put to Mr Depp in 
cross-examination (she “eyeballed” him) from how Ms Heard later described her reactions to 
when she was first allegedly hit, when she was cross-examined on DAY 11 (she was “kind of 
still laughing”). 
 "
DATE,1,DAY 11,," 
The Court has the transcripts for each day of the trial. Below, are selected extracts from the 
evidence given orally, grouped by reference to pleaded alleged incidents of violence. 
 
 
Incident 1: The Tattoo Incident, early 2013   
 
There  is  limited  evidence  on  this  alleged  first  incidence  of  violence.  The  Defendants’  case 
seeks to say that it arose in the unlikely scenario that Mr Depp reacted badly to a joke about 
an infamous tattoo which he has, one which Ms Heard would have seen countless times by 
early 2013. Further how the incident allegedly panned out differed when put to Mr Depp in 
cross-examination (she “eyeballed” him) from how Ms Heard later described her reactions to 
when she was first allegedly hit, when she was cross-examined on DAY 11 (she was “kind of 
still laughing”). 
 "
DATE,1,DAY 2,,"DAY 2, P.177 (Cross-examination of Mr Depp) "
DATE,2,DAY 4,,DAY 4 (Re-examination of Mr Depp) 
timexy,2,"March 

    25","TIMEX3 type=""DATE"" value=""2025-03-01T00:00:00""",
DATE,2,at least,,"    25          2013.  Am I right in saying that at that time you had been 
 
P.626  
     2          seeing Ms. Heard for at least 18 months? 
 
     3      A.  Somewhere in that area, I would say, yes. 
 
     4      Q.  Is the tattoo, which we are talking about, in a hidden place 
     5          on your body? 
 
     6      A.  No, sir.  Well, it is on my upper ---- 
 
     7      Q.  It is on your upper arm there? "
timexy,2,18 months,"TIMEX3 type=""DURATION"" value=""P18M""","    25          2013.  Am I right in saying that at that time you had been 
 
P.626  
     2          seeing Ms. Heard for at least 18 months? 
 
     3      A.  Somewhere in that area, I would say, yes. 
 
     4      Q.  Is the tattoo, which we are talking about, in a hidden place 
     5          on your body? 
 
     6      A.  No, sir.  Well, it is on my upper ---- 
 
     7      Q.  It is on your upper arm there? "
DATE,3,the beginning of 2013,," 
     8      A.  On my shoulder up here, yes. 
 
     9      Q.  Visible or not visible? 
 
    10      A.  Visible if I have no sleeves or if my shirt is off. 
 
    11      Q.  When did you get the tattoo changed from ""Winona"" to ""wino 
    12          forever"", was it the beginning of 2013? 
 
    13      A.  No, sir.  The tattoo was altered in about 1993. 
 
    14      Q.  1993? 
 
    15      A.  Yes. 
 
    16      Q.  So, throughout your relationship in the 18 months or so before 
    17          2013, that is the incident we are talking about, the tattoo 
    18          had always read ""wino forever""; yes or no? 
 
    19      A.  Yes, that is correct. 
 
    20      Q.  Was March 2013 the first time Ms. Heard had ever seen your 
    21          tattoo? 
 
    22      A.  No, sir. 
 "
DATE,3,about 1993,," 
     8      A.  On my shoulder up here, yes. 
 
     9      Q.  Visible or not visible? 
 
    10      A.  Visible if I have no sleeves or if my shirt is off. 
 
    11      Q.  When did you get the tattoo changed from ""Winona"" to ""wino 
    12          forever"", was it the beginning of 2013? 
 
    13      A.  No, sir.  The tattoo was altered in about 1993. 
 
    14      Q.  1993? 
 
    15      A.  Yes. 
 
    16      Q.  So, throughout your relationship in the 18 months or so before 
    17          2013, that is the incident we are talking about, the tattoo 
    18          had always read ""wino forever""; yes or no? 
 
    19      A.  Yes, that is correct. 
 
    20      Q.  Was March 2013 the first time Ms. Heard had ever seen your 
    21          tattoo? 
 
    22      A.  No, sir. 
 "
timexy,3,18 months,"TIMEX3 type=""DURATION"" value=""P18M"""," 
     8      A.  On my shoulder up here, yes. 
 
     9      Q.  Visible or not visible? 
 
    10      A.  Visible if I have no sleeves or if my shirt is off. 
 
    11      Q.  When did you get the tattoo changed from ""Winona"" to ""wino 
    12          forever"", was it the beginning of 2013? 
 
    13      A.  No, sir.  The tattoo was altered in about 1993. 
 
    14      Q.  1993? 
 
    15      A.  Yes. 
 
    16      Q.  So, throughout your relationship in the 18 months or so before 
    17          2013, that is the incident we are talking about, the tattoo 
    18          had always read ""wino forever""; yes or no? 
 
    19      A.  Yes, that is correct. 
 
    20      Q.  Was March 2013 the first time Ms. Heard had ever seen your 
    21          tattoo? 
 
    22      A.  No, sir. 
 "
