label,page,text,id,surrounding_text
timexy,1,22  March  2013,"TIMEX3 type=""DATE"" value=""2013-03-22T00:00:00""","Appended  to  these  submissions  are  four  appendices  containing  chronologies  referencing 
‘painting’ 
the  key  contemporaneous  documents for  the  following  incidents:  22  March  2013 
incident;  Australia,  March  2015;  15  December  2015;  and  21  May  2016. "
timexy,1,March  2015,"TIMEX3 type=""DATE"" value=""2015-03-01T00:00:00""","Appended  to  these  submissions  are  four  appendices  containing  chronologies  referencing 
‘painting’ 
the  key  contemporaneous  documents for  the  following  incidents:  22  March  2013 
incident;  Australia,  March  2015;  15  December  2015;  and  21  May  2016. "
timexy,1,15  December  2015,"TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""","Appended  to  these  submissions  are  four  appendices  containing  chronologies  referencing 
‘painting’ 
the  key  contemporaneous  documents for  the  following  incidents:  22  March  2013 
incident;  Australia,  March  2015;  15  December  2015;  and  21  May  2016. "
timexy,1,21  May  2016,"TIMEX3 type=""DATE"" value=""2016-05-21T00:00:00""","Appended  to  these  submissions  are  four  appendices  containing  chronologies  referencing 
‘painting’ 
the  key  contemporaneous  documents for  the  following  incidents:  22  March  2013 
incident;  Australia,  March  2015;  15  December  2015;  and  21  May  2016. "
DATE,1,1925,,"These  submissions  address  the  issue  of  truth.  The  requirement  is  that  the  Defendants 
establish  “the  main  charge,  or  gist,  of  the  libel”:  Sutherland  v  Stopes  [1925]  A.C.  47,  HL. 
The  burden  of  proof  lies  on  the  Defendants  to  prove  truth.  The  summary  of  the  law  as  to 
the  standard  of  proof  at  paragraphs  71  to  77  of  the  Claimant’s  trial  skeleton  argument  is 
agreed,  save  that  there  is  no  support  in  the  authorities  for  the  proposition  in  paragraph 
76  that  the  court  must  find  evidence  to  be  “compelling”  before  finding  any  matter  proved."
timexy,2,15  December  2015,"TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""","The  Claimant  was  not  a  reliable  witness.  He  conceded  that  he  had  never  read  his  whole 
witness  statement.  When  challenged  about  the  head  butting  on  the  15  December  2015, 
and  asked  why  his  new  account  that  he  had  head  butted  Ms  Heard  —  albeit  “accidentally” 
—  was  missing  from  the  statement,  the  Claimant  confirmed  that  he  had  not  read  the 
entirety  of  his  witness  statement  before  signing  it.  He  said: "
timexy,2,August  2014,"TIMEX3 type=""DATE"" value=""2014-08-01T00:00:00""","His  memory  of  events  was  demonstrated  to  be  wrong,  or  on  other  occasions  incomplete. 
This  was  no  doubt  in  part  because  of  the  ‘blackouts’  he  explained  that  he  had.  He 
accepted,  in  relation  to  the  Bahamas  island  incident  in  August  2014: "
timexy,2,24  May  2014,"TIMEX3 type=""DATE"" value=""2014-05-24T00:00:00""","Similarly,  in  relation  to  the  Boston  flight  incident  on  24  May  2014  he  conceded  under 
cross-examination  that  he  was  “incorrect”  in  his  statement  that  “he  had  not  taken  cocaine"
timexy,3,"15 
December  2015","TIMEX3 type=""DATE"" value=""2015-12-15T00:00:00""","In  cross-examination  he  conceded  that  he  had  head  butted  Ms  Heard  on  15 
December  2015,  albeit  accidentally,  something  he  had  until  that  point  always 
denied.  This  is  dealt  with  in  detail  below. "
timexy,3,May  2013,"TIMEX3 type=""DATE"" value=""2013-05-01T00:00:00""","He  was  also  unable  to  recall  events  which,  for  most  people,  would  be  memorable.  He 
could  not  recall  an  incident  in  May  2013  when  he  cut  his  hand  seriously  enough  that  he 
thought  he  may  require  stitches.  The  incident  was  recorded  in  texts  the  Claimant  sent  to 
Mr  Deuters  [2/218/19  —  2/220/10]. "
timexy,3,24  May  2014,"TIMEX3 type=""DATE"" value=""2014-05-24T00:00:00""","Further,  he  tailored  his  testimony  when  confronted  with  unfavourable  evidence.  In 
relation  to  the  24  May  2014  Boston-LA  flight  recording,  having  initially  said  it  may  not 
have  been  a  recording  of  him  at  all,  in  re-examination  he  claimed  to  have  recalled  that  in 
fact  it  was  of  him  but  was  recorded  on  an  entirely  different  occasion,  many  months  later 
in  the  Bahamas.  The  new  recollection  was,  however,  false:  the  metadata  shows  it  was 
indeed  recorded  on  that  flight.  The  matter  is  dealt  with  in  detail  below. "
DATE,3,months  later,,"Further,  he  tailored  his  testimony  when  confronted  with  unfavourable  evidence.  In 
relation  to  the  24  May  2014  Boston-LA  flight  recording,  having  initially  said  it  may  not 
have  been  a  recording  of  him  at  all,  in  re-examination  he  claimed  to  have  recalled  that  in 
fact  it  was  of  him  but  was  recorded  on  an  entirely  different  occasion,  many  months  later 
in  the  Bahamas.  The  new  recollection  was,  however,  false:  the  metadata  shows  it  was 
indeed  recorded  on  that  flight.  The  matter  is  dealt  with  in  detail  below. "
